date,ville,pm25,pm10,no2,co,temperature,humidite
2024-01-01,Dakar,45.2,89.3,32.1,0.8,28.5,72
2024-01-01,Thiès,38.7,76.4,28.3,0.6,27.8,68
2024-01-01,Ziguinchor,22.1,45.6,15.2,0.4,30.2,85
2024-01-02,Dakar,52.3,98.7,38.4,0.9,29.1,70
2024-01-02,Thiès,41.2,82.1,31.7,0.7,28.3,65
2024-01-02,Ziguinchor,25.4,51.2,18.6,0.5,31.0,88
2024-01-03,Dakar,67.8,112.4,45.2,1.1,29.8,68
2024-01-03,Thiès,55.3,95.6,39.8,0.9,28.9,63
2024-01-03,Ziguinchor,28.9,58.3,21.4,0.6,31.5,90
2024-01-04,Dakar,71.2,125.6,48.9,1.2,30.2,65
2024-01-04,Thiès,58.7,102.3,42.1,1.0,29.4,61
2024-01-04,Ziguinchor,31.2,62.7,24.8,0.7,32.1,87
